Escuela;Nombre Carrera;URL Carrera;FOTO_URL
Desarrollo Social & Educación;TÉCNICO ASISTENTE EN EDUCACIÓN ESPECIAL;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=63&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/3.%20DESARROLLO%20SOCIAL%20Y%20EDUCACIO%CC%81N/tecnico-asistente-en-educacion-especial.jpg?updatedAt=1738198961694
Desarrollo Social & Educación;TÉCNICO EN ADMINISTRACIÓN PÚBLICA;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=124&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/3.%20DESARROLLO%20SOCIAL%20Y%20EDUCACIO%CC%81N/tecnico-en-administracion-publica.jpg?updatedAt=1738198961935
Desarrollo Social & Educación;TÉCNICO EN EDUCACIÓN PARVULARIA 1° Y 2° BÁSICO;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=166&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/3.%20DESARROLLO%20SOCIAL%20Y%20EDUCACIO%CC%81N/tecnico-en-educacion-parvularia-1-y-2-basico.jpg?updatedAt=1738198961715
Desarrollo Social & Educación;TÉCNICO EN TRABAJO SOCIAL;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=106&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/3.%20DESARROLLO%20SOCIAL%20Y%20EDUCACIO%CC%81N/tecnico-en-trabajo-social.jpg?updatedAt=1738198962098
Desarrollo Social & Educación;TÉCNICO INNOVACIÓN SOCIAL SUSTENTABLE;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=143&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/7.%20SALUD%20Y%20DEPORTES/tecnico-en-enfermeria-mencion-salud-mental.jpg?updatedAt=1738199721982
Desarrollo Social & Educación;TÉCNICO JURÍDICO;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=109&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/3.%20DESARROLLO%20SOCIAL%20Y%20EDUCACIO%CC%81N/tecnico-juridico.jpg?updatedAt=1738198961765
Desarrollo Social & Educación;TRABAJO SOCIAL;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=112&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/3.%20DESARROLLO%20SOCIAL%20Y%20EDUCACIO%CC%81N/trabajo-social.jpg?updatedAt=1738198962069
Estética Integral;COSMETOLOGÍA;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=16&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/4.%20ESTETICA%20INTEGRAL/tecnico-en-cosmetologia.jpg?updatedAt=1738199121055
Estética Integral;ESTÉTICA PROFESIONAL;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=22&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/4.%20ESTETICA%20INTEGRAL/estetica-profesional.jpg?updatedAt=1738199121111
Estética Integral;TÉCNICO EN MASOTERAPIA;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=95&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/4.%20ESTETICA%20INTEGRAL/tecnico-en-masoterapia.jpg?updatedAt=1738199120924
Estética Integral;TÉCNICO EN PELUQUERÍA;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=100&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/4.%20ESTETICA%20INTEGRAL/tecnico-en-peluqueria.jpg?updatedAt=1738199120790
Gastronomía, Hotelería y Turismo;ADMINISTRACIÓN EN EMPRESAS GASTRONÓMICAS;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=144&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/5.%20GASTRONOMI%CC%81A,%20HOTELERI%CC%81A%20Y%20TURISMO/administracion-de-empresas-gastronomicas.jpg?updatedAt=1738199210281
Gastronomía, Hotelería y Turismo;GASTRONOMÍA INTERNACIONAL;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=23&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/5.%20GASTRONOMI%CC%81A,%20HOTELERI%CC%81A%20Y%20TURISMO/gastronomia-internacional.jpg?updatedAt=1738199210066
Gastronomía, Hotelería y Turismo;TÉCNICO ADMINISTRACIÓN HOTEL. Y RESORTS INT.;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=72&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/tecnico-en-administracion-de-empresas.jpg?updatedAt=1738199307747
